tag,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Latin America,0.915,0.262,0.0,0.893,0.0,0.535,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Legal,0.61,0.0,0.514,0.446,0.418,1.604,1.463,2.475,1.351,3.906,1.818,0.0,2.542,0.0,0.0,0.862,2.941,0.0
LegalTech,1.22,0.524,0.771,1.339,0.837,1.07,1.463,3.465,1.351,2.344,0.909,0.855,3.39,0.0,0.0,1.293,0.0,0.0
Lending,0.915,0.785,0.771,0.446,0.0,0.0,0.488,0.99,0.0,0.0,0.0,0.855,0.0,2.083,0.0,0.0,0.0,0.0
Lidar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Live,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Livestock Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Location-based,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Logistics,3.049,0.785,3.085,3.571,2.092,3.743,2.927,1.98,1.351,1.562,2.727,3.419,1.695,6.25,0.0,3.017,0.0,0.0
ML,0.0,0.524,0.514,0.446,0.0,1.604,0.488,0.99,0.0,0.0,2.727,0.0,0.0,2.083,2.0,0.862,0.0,0.0
Machine Learning,3.049,5.236,6.17,4.911,5.021,5.882,2.927,4.95,8.108,3.906,7.273,3.419,4.237,6.25,0.0,5.172,0.0,0.0
Manufacturing,0.61,1.047,2.057,1.339,0.837,2.139,1.463,4.95,2.703,3.906,8.182,3.419,3.39,0.0,2.0,6.897,5.882,0.0
Maritime,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Market Research,0.305,0.524,0.257,0.0,0.418,0.535,0.0,0.495,1.351,0.781,0.909,1.709,0.847,0.0,0.0,1.293,0.0,0.0
Marketing,1.22,1.047,3.085,2.232,2.51,5.348,3.902,2.475,2.703,2.344,1.818,3.419,4.237,4.167,4.0,0.862,0.0,0.0
Marketplace,6.098,8.639,8.226,2.232,4.184,1.604,2.927,0.495,1.351,0.781,1.818,0.855,3.39,0.0,0.0,2.586,0.0,0.0
Media,0.61,0.262,0.257,0.446,1.255,0.535,0.488,1.485,2.703,0.0,0.0,0.0,1.695,0.0,0.0,0.0,0.0,0.0
Medical Devices,0.61,3.141,1.799,1.339,0.0,1.604,0.488,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.431,0.0,0.0
Medical Robotics,0.0,0.262,0.0,0.446,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mental Health,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.431,0.0,0.0
Mental Health Tech,0.915,1.832,1.542,0.446,0.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messaging,0.0,0.524,0.257,1.339,0.0,0.0,0.0,0.495,1.351,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Metaverse,0.0,0.0,0.257,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microfluidics,0.0,0.262,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microinsurance,0.305,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mobility,0.61,0.0,0.257,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monitoring,0.305,0.0,0.0,0.0,0.837,0.535,0.976,0.495,0.0,0.0,0.909,0.0,0.847,0.0,0.0,0.862,0.0,0.0
Music,0.305,0.0,0.514,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
NFT,0.0,0.0,0.514,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP,0.61,0.262,0.514,0.893,0.418,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Nanomedicine,0.305,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nanosensors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nanotechnology,0.0,0.0,0.0,0.446,0.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navigation,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neobank,1.22,0.785,3.856,3.125,1.255,1.604,0.976,0.495,0.0,0.781,0.909,0.855,1.695,0.0,2.0,0.0,0.0,0.0
Networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Neurotechnology,0.61,0.262,0.771,0.0,0.0,0.0,0.488,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Next-gen Network Security,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No-code,0.305,1.309,0.514,1.786,1.255,0.535,1.463,0.495,2.703,0.0,0.0,0.855,3.39,0.0,0.0,0.0,0.0,0.0
Nonprofit,0.61,0.0,0.257,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Note-taking,0.305,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Oncology,0.305,0.262,0.257,1.339,0.837,0.0,1.951,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0
Open Source,3.963,2.094,2.828,5.804,8.787,5.882,5.854,3.465,0.0,5.469,4.545,5.128,2.542,0.0,4.0,3.448,0.0,0.0
Operations,0.61,0.785,0.514,0.446,1.255,0.535,1.951,3.465,1.351,0.781,2.727,0.855,2.542,6.25,0.0,0.431,0.0,0.0
Payments,2.744,3.665,4.627,6.696,5.439,3.743,1.951,1.98,1.351,1.562,0.0,0.855,0.847,2.083,2.0,0.0,0.0,0.0
Payroll,0.0,0.524,0.257,0.446,0.837,1.07,0.488,0.495,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Pediatrics,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Personalization,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,1.293,0.0,0.0
Podcasts,0.0,0.262,0.0,0.446,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary Care,0.0,0.785,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Privacy,0.61,0.262,0.771,0.0,0.418,0.535,0.0,0.99,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Procurement,0.61,0.262,0.0,0.0,0.0,0.535,0.488,0.495,1.351,0.0,0.0,0.855,0.0,0.0,0.0,0.862,0.0,0.0
Productivity,2.439,3.141,3.085,6.25,5.439,3.209,4.878,5.446,2.703,1.562,4.545,7.692,3.39,0.0,6.0,1.293,2.941,0.0
Proptech,2.134,2.094,3.599,3.125,2.929,1.604,1.463,1.98,1.351,0.781,0.0,0.855,1.695,0.0,0.0,0.0,0.0,0.0
Quantum Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Real Estate,1.22,0.524,2.314,3.571,1.674,1.604,0.976,2.475,1.351,0.781,0.909,1.709,0.847,2.083,0.0,1.724,0.0,0.0
Recommendation System,0.0,0.0,0.257,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recruiting,2.134,1.571,0.514,0.893,0.0,1.604,0.976,0.0,1.351,2.344,0.0,0.855,0.847,0.0,2.0,0.862,2.941,0.0
Regtech,0.0,0.524,0.771,0.893,0.837,1.07,0.488,0.495,1.351,0.781,0.0,0.0,0.0,2.083,0.0,0.431,0.0,0.0
Reinforcement Learning,0.0,0.0,0.0,0.0,0.837,0.0,1.463,0.495,1.351,3.125,4.545,3.419,2.542,8.333,0.0,6.034,0.0,0.0
Remittances,0.0,0.0,0.257,0.0,0.0,0.535,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remote,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remote Work,0.61,0.785,0.257,0.0,0.418,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Renewable Energy,0.305,0.262,0.257,0.446,0.837,0.535,0.488,0.495,0.0,0.781,0.0,0.0,0.0,2.083,0.0,0.862,0.0,0.0
Restaurant Tech,0.305,0.262,0.0,0.0,0.418,0.535,0.488,0.0,0.0,0.0,0.0,0.855,0.847,0.0,0.0,0.862,0.0,0.0
Retail,0.305,0.785,0.257,0.893,2.092,1.604,0.488,0.99,0.0,0.0,1.818,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Retail Tech,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.495,2.703,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reviews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ridesharing,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robotic Process Automation,1.22,0.262,0.257,0.893,0.837,1.604,0.0,1.485,0.0,1.562,0.909,0.855,0.847,2.083,2.0,1.724,0.0,0.0
Robotic Surgery,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robotics,2.744,0.785,1.285,1.339,0.418,0.0,2.927,4.455,1.351,3.906,8.182,4.274,7.627,6.25,10.0,12.069,8.824,0.0
Rocketry,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
SEO,0.0,0.262,0.257,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SMB,0.305,0.0,0.257,0.0,0.418,0.535,1.463,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.431,0.0,0.0
SMS,0.0,0.0,0.257,0.0,0.0,0.535,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SaaS,28.659,31.414,27.249,30.357,35.983,22.995,15.122,19.802,21.622,20.312,12.727,14.53,9.322,10.417,12.0,10.345,5.882,0.0
Sales,1.524,1.832,3.342,5.804,4.184,5.348,5.854,1.98,2.703,7.031,4.545,2.564,1.695,0.0,0.0,1.724,0.0,0.0
Sales Enablement,0.305,1.047,1.285,1.786,1.255,1.07,1.463,0.495,0.0,3.125,0.909,1.709,0.0,0.0,2.0,0.862,0.0,0.0
Satellites,1.22,0.262,0.771,0.893,0.418,0.535,0.976,0.495,0.0,0.0,0.0,0.0,1.695,0.0,0.0,0.431,2.941,0.0
Scheduling,0.61,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Search,0.0,0.262,0.771,0.893,0.0,1.604,2.439,0.495,1.351,0.0,0.0,1.709,0.0,0.0,0.0,0.0,0.0,0.0
Security,1.524,1.832,2.571,1.786,1.674,1.604,2.927,1.485,1.351,0.0,3.636,2.564,1.695,0.0,2.0,2.586,0.0,0.0
Self-Driving Vehicles,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Semiconductors,0.0,0.0,0.0,0.0,0.0,1.07,0.488,1.98,0.0,0.781,0.909,0.0,0.0,2.083,2.0,3.017,2.941,0.0
Skincare,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Sleep Tech,0.305,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smart Home Assistants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Smart Waste Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Social,0.61,0.262,1.542,0.893,0.418,0.0,0.488,0.0,0.0,1.562,1.818,0.0,1.695,0.0,4.0,0.0,2.941,0.0
Social Media,0.915,0.0,0.0,0.0,0.418,0.0,1.463,1.98,4.054,0.0,0.909,0.0,2.542,0.0,0.0,0.0,0.0,0.0
Social Network,0.305,0.262,0.0,0.0,0.0,0.0,1.463,0.0,0.0,0.0,0.909,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Solar Power,0.0,0.524,0.771,0.893,0.837,0.0,0.488,0.495,0.0,0.781,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Space Exploration,0.61,1.047,0.257,0.446,0.0,0.0,0.0,0.495,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.862,2.941,0.0
Speech Recognition,0.0,0.262,0.514,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Sports Tech,0.61,0.0,0.0,0.893,0.0,0.0,0.488,0.0,0.0,0.781,0.0,0.0,1.695,0.0,0.0,0.0,0.0,0.0
Stocks,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.862,0.0,0.0
Subscriptions,2.744,1.047,1.285,0.446,0.837,0.535,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supply Chain,1.829,1.047,1.542,2.232,0.837,2.674,1.951,4.95,1.351,0.781,1.818,5.983,0.0,2.083,0.0,3.448,0.0,0.0
Sustainability,0.0,0.785,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0
Sustainable Fashion,0.305,0.262,0.0,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sustainable Tourism,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swarm Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293,0.0,0.0
Synthetic Biology,0.0,1.047,0.514,1.339,0.837,0.535,1.463,2.475,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.862,0.0,0.0
Talent Acquisition,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941,0.0
Team Collaboration,0.305,0.0,0.0,0.0,0.0,0.535,0.488,0.0,0.0,0.781,1.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telecommunications,0.915,0.524,0.0,0.446,0.418,0.535,1.463,0.0,1.351,1.562,0.0,0.0,0.0,0.0,2.0,0.431,0.0,0.0
Telehealth,0.61,1.309,0.771,1.339,0.418,0.535,0.488,0.0,0.0,0.0,0.909,0.0,0.847,0.0,0.0,0.431,0.0,0.0
Telemedicine,1.524,1.309,1.542,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Therapeutics,0.305,1.571,1.028,3.125,0.837,0.535,2.439,0.99,0.0,0.781,0.0,0.0,0.0,0.0,2.0,0.431,0.0,0.0
Time Series,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Trading,0.305,0.524,0.514,0.0,0.418,0.0,0.0,0.0,1.351,0.781,0.909,0.0,0.0,2.083,4.0,1.724,0.0,0.0
Transportation,0.0,0.524,0.771,0.893,0.837,0.535,0.0,0.495,1.351,0.781,0.909,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Travel,0.915,0.524,1.028,0.0,0.0,1.07,1.463,1.485,1.351,0.781,0.0,0.855,0.0,0.0,0.0,0.431,0.0,0.0
Trust & Safety,0.0,0.0,0.257,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Unmanned Vehicle,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Vaccines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Video,1.22,1.047,0.771,1.339,2.092,1.604,3.415,1.485,4.054,0.0,0.0,3.419,3.39,0.0,0.0,0.431,0.0,0.0
Virtual Reality,0.305,0.262,1.028,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Warehouse Management Tech,0.61,0.524,0.514,0.0,0.418,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Weather,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Web Development,0.61,0.524,0.257,0.446,0.418,2.139,0.488,0.495,0.0,0.781,0.909,0.855,0.847,0.0,2.0,0.0,0.0,0.0
Women's Health,0.0,1.047,0.257,0.0,0.418,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Workflow Automation,0.915,0.524,0.514,2.232,2.092,2.674,4.878,4.455,2.703,3.125,0.909,4.274,2.542,0.0,0.0,4.741,0.0,100.0
eLearning,3.659,2.094,1.028,0.446,0.837,0.535,0.0,0.495,0.0,0.781,0.0,0.855,0.0,0.0,0.0,0.431,0.0,0.0
eSports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
