tag,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Remote Work,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2,5,1,1,1,0,1,0
Renewable Energy,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,2,2,3,2,1,3,0
Restaurant Tech,0,0,0,0,0,1,0,0,1,0,2,0,0,0,3,0,2,0,2,1,2,2,0
Retail,0,0,0,0,0,0,2,3,1,3,3,6,3,0,3,4,4,3,8,3,2,1,0
Retail Tech,0,0,0,0,0,0,1,0,1,0,2,1,1,1,3,3,1,0,0,3,1,0,0
Reviews,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Ridesharing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Robotic Process Automation,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,5,3,5,3,5,6,0
Robotic Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Robotics,0,0,0,0,0,0,0,3,1,0,4,5,2,7,8,8,12,8,1,16,28,39,0
Rocketry,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
SEO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
SMB,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,2,3,1,1,0
SMS,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0
SaaS,0,1,1,3,1,1,18,17,9,19,34,25,26,41,68,124,214,174,129,87,68,37,0
Sales,0,0,0,0,1,0,2,1,0,2,0,5,0,1,2,5,12,26,20,18,19,4,0
Sales Enablement,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,2,5,9,5,4,7,3,0
Satellites,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,5,2,3,2,2,0
Scheduling,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,1,0,0,0,1,0
Search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,7,2,0,0
Security,0,0,0,0,0,1,0,4,1,2,4,3,4,7,4,4,12,14,7,10,9,7,0
"Security Orchestration, Automation and Response (SOAR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Self-Driving Vehicles,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0
Semiconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,2,10,0
Skincare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Sleep Tech,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,3,0,0,0,0,0,0
Small Modular Reactors,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Smart Clothing,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0
Smart Home Assistants,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,1,0,0
Smart Locks,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smart Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Social,1,1,0,4,1,2,1,9,1,0,3,2,5,6,4,13,3,8,1,1,6,3,0
Social Media,1,0,1,0,0,0,0,2,1,1,1,4,4,0,1,0,3,0,1,10,4,0,0
Social Network,1,1,1,0,0,1,1,3,0,0,0,0,2,0,3,2,2,0,0,3,2,0,0
Solar Power,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,2,5,2,2,1,1,0
Space Exploration,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,6,2,0,1,1,3,0
Speech Recognition,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0
Sports Tech,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,2,2,0,1,3,0,0
Stocks,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0
Subscriptions,0,0,0,0,0,0,0,0,1,2,0,0,2,4,3,2,13,6,3,1,0,0,0
Supply Chain,0,0,0,0,0,0,0,1,2,1,2,2,4,6,3,8,10,11,7,15,10,9,0
Sustainability,0,0,0,0,1,0,0,1,0,0,3,0,2,3,0,0,3,0,0,1,0,2,0
Sustainable Agriculture,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Sustainable Fashion,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,2,0,0,0,0,0
Sustainable Tourism,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Swarm Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Synthetic Biology,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,5,4,5,3,8,1,2,0
Talent Acquisition,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0
Team Collaboration,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,1,1,0,1,1,3,0,0
Telecommunications,0,0,0,0,0,0,1,2,0,1,0,0,2,1,2,2,5,1,2,4,2,2,0
Telehealth,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,3,7,6,2,1,2,1,0
Telemedicine,0,0,0,0,0,0,1,0,0,0,1,1,2,0,3,5,10,6,1,0,0,0,0
Therapeutics,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,7,7,11,3,7,1,2,0
Ticketing,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Time Series,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Trading,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,1,1,2,7,0
Transportation,0,0,0,0,0,0,1,0,1,0,4,4,4,2,2,4,2,5,3,2,3,0,0
Travel,0,0,0,0,1,1,0,5,2,3,5,1,1,2,4,3,5,4,2,7,2,1,0
Trust & Safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Unmanned Vehicle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
VR Health,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Vaccines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vertical Farming,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Video,0,0,1,1,1,3,4,8,2,2,3,6,5,1,2,6,8,6,8,13,8,1,0
Virtual Reality,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,6,0,0,0,1,0
Warehouse Management Tech,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,2,1,1,0,1,0
Weather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Web Development,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4,2,5,2,4,1,0
Women's Health,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,0,4,1,2,0,1,0,0
Workflow Automation,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,5,5,7,10,21,13,11,1
eLearning,0,0,0,0,0,0,0,1,1,1,3,1,3,3,2,5,20,5,3,1,2,1,0
eSports,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
