tag_a,tag_b,cooccurrence_2021-2022,cooccurrence_2023-2024,cooccurrence_2025-present,jaccard_2021-2022,jaccard_2023-2024,jaccard_2025-present,lift_2021-2022,lift_2023-2024,lift_2025-present,lift_change,relationship
E-commerce,Machine Learning,5.0,,,0.0368,,,1.376,,,,disappeared
E-commerce,Marketplace,17.0,,,0.1141,,,3.378,,,,disappeared
E-commerce,SaaS,21.0,5.0,,0.0474,0.0216,,0.968,1.195,,,disappeared
Education,SaaS,6.0,,5.0,0.0141,,0.0435,0.489,,4.083,3.5940000000000003,strengthening
Education,eLearning,18.0,,,0.36,,,22.755,,,,disappeared
Energy,Hard Tech,,,6.0,,,0.0968,,,9.706,,newly emerging
Enterprise,Enterprise Software,,,6.0,,,0.1017,,,8.828,,newly emerging
Enterprise,Fintech,5.0,,,0.0163,,,0.855,,,,disappeared
Enterprise,Generative AI,,9.0,,,0.0581,,,2.117,,,stable
Enterprise,Open Source,,5.0,,,0.061,,,2.952,,,stable
Enterprise,SaaS,15.0,9.0,5.0,0.0374,0.037,0.042,1.876,1.255,3.223,1.347,strengthening
Enterprise Software,Fintech,,5.0,,,0.0368,,,1.286,,,stable
Enterprise Software,Productivity,,,5.0,,,0.0735,,,5.177,,newly emerging
Enterprise Software,SaaS,12.0,14.0,6.0,0.0301,0.0571,0.0414,1.827,1.634,1.598,-0.22899999999999987,stable
FinOps,Fintech,11.0,,,0.0383,,,3.76,,,,disappeared
FinOps,SaaS,8.0,,,0.0203,,,2.001,,,,disappeared
Finance,Fintech,7.0,14.0,8.0,0.0239,0.1167,0.1159,2.094,4.302,7.621,5.527000000000001,strengthening
Finance,Generative AI,,7.0,,,0.0446,,,1.647,,,stable
Finance,SaaS,,7.0,,,0.0286,,,0.976,,,stable
Fintech,Gaming,6.0,,,0.0201,,,1.367,,,,disappeared
Fintech,Generative AI,,8.0,,,0.0367,,,0.691,,,stable
Fintech,Insurance,9.0,,5.0,0.0302,,0.0781,1.872,,6.768,4.896,strengthening
Fintech,Investing,13.0,6.0,6.0,0.0456,0.0571,0.1034,4.443,5.105,11.023,6.58,strengthening
Fintech,Lending,8.0,,,0.028,,,3.828,,,,disappeared
Fintech,Machine Learning,8.0,,,0.0235,,,0.589,,,,disappeared
Fintech,Marketplace,16.0,5.0,,0.0447,0.0439,,0.851,2.634,,,disappeared
Fintech,Neobank,26.0,,,0.0906,,,4.29,,,,disappeared
Fintech,Payments,46.0,19.0,,0.1565,0.1759,,3.931,7.247,,,disappeared
Fintech,Proptech,13.0,6.0,,0.0423,0.0545,,1.728,3.687,,,disappeared
Fintech,Real Estate,6.0,,,0.0199,,,1.248,,,,disappeared
Fintech,SaaS,71.0,21.0,,0.1181,0.0717,,0.876,1.075,,,disappeared
Generative AI,Machine Learning,8.0,6.0,,0.0721,0.0359,,3.097,1.129,,,disappeared
Generative AI,Open Source,,11.0,,,0.0655,,,1.827,,,stable
Generative AI,Productivity,6.0,7.0,,0.0638,0.0429,,3.283,1.411,,,disappeared
Generative AI,SaaS,16.0,33.0,12.0,0.0376,0.1061,0.087,1.038,1.294,3.266,2.2279999999999998,strengthening
Generative AI,Sales,5.0,8.0,,0.0575,0.0506,,3.311,1.783,,,disappeared
Generative AI,Social Media,,5.0,,,0.0373,,,3.849,,,stable
HR Tech,Recruiting,6.0,,,0.1765,,,20.854,,,,disappeared
HR Tech,SaaS,14.0,5.0,,0.0353,0.0222,,2.132,1.792,,,disappeared
Hard Tech,Hardware,9.0,,16.0,0.1875,,0.1758,15.443,,7.189,-8.254,weakening
Hard Tech,Manufacturing,,,8.0,,,0.093,,,4.734,,newly emerging
Hard Tech,Robotics,7.0,,15.0,0.1522,,0.1429,14.414,,5.432,-8.982,weakening
Hard Tech,Satellites,6.0,,,0.1622,,,24.709,,,,disappeared
Hard Tech,Semiconductors,,,5.0,,,0.0833,,,10.11,,newly emerging
Hardware,Industrial,,,7.0,,,0.1014,,,7.577,,newly emerging
Hardware,Manufacturing,,6.0,12.0,,0.2222,0.1446,,25.81,6.97,,newly emerging
Hardware,Robotics,,,16.0,,,0.1524,,,5.687,,newly emerging
Health & Wellness,Health Tech,,,5.0,,,0.1724,,,24.356,,newly emerging
Health Tech,Healthcare,13.0,21.0,11.0,0.1711,0.2727,0.2619,9.182,9.984,20.742,11.56,strengthening
Health Tech,Healthcare IT,,6.0,,,0.1304,,,12.226,,,stable
Health Tech,Medical Devices,5.0,,,0.0893,,,7.652,,,,disappeared
Health Tech,SaaS,5.0,9.0,,0.0119,0.0367,,0.473,1.189,,,disappeared
Healthcare,Healthcare IT,,8.0,6.0,,0.1212,0.1714,,10.324,24.89,,newly emerging
Healthcare,SaaS,7.0,11.0,,0.0162,0.0415,,0.472,0.92,,,disappeared
Healthcare,Telehealth,6.0,,,0.1017,,,12.062,,,,disappeared
Healthcare IT,SaaS,,6.0,,,0.0268,,,2.151,,,stable
Industrial,Manufacturing,,,9.0,,,0.1667,,,12.831,,newly emerging
Industrial,Robotics,,,6.0,,,0.0723,,,5.235,,newly emerging
Infrastructure,Machine Learning,,,5.0,,,0.0505,,,2.594,,newly emerging
Infrastructure,Open Source,,7.0,8.0,,0.0824,0.0889,,3.629,4.953,,newly emerging
Infrastructure,Reinforcement Learning,,,5.0,,,0.0521,,,2.823,,newly emerging
Infrastructure,Robotics,,,7.0,,,0.0551,,,2.005,,newly emerging
Infrastructure,SaaS,,9.0,,,0.0363,,,1.102,,,stable
Legal,LegalTech,,9.0,5.0,,0.4737,0.25,,50.031,41.218,,newly emerging
Legal,SaaS,,5.0,6.0,,0.0223,0.0536,,1.93,5.653,,newly emerging
LegalTech,SaaS,,5.0,,,0.0221,,,1.673,,,stable
Logistics,SaaS,6.0,,,0.0145,,,0.637,,,,disappeared
Logistics,Supply Chain,8.0,10.0,10.0,0.1739,0.2857,0.3333,15.688,21.423,32.231,16.543,strengthening
Machine Learning,Reinforcement Learning,,,5.0,,,0.0758,,,5.111,,newly emerging
Machine Learning,SaaS,8.0,6.0,,0.018,0.0235,,0.431,0.669,,,disappeared
Manufacturing,Robotics,,,11.0,,,0.1134,,,5.15,,newly emerging
Manufacturing,Supply Chain,,6.0,,,0.1622,,,14.078,,,stable
Marketing,SaaS,11.0,9.0,,0.0274,0.0378,,1.541,1.457,,,disappeared
Marketing,Sales,9.0,6.0,5.0,0.1667,0.0952,0.1316,12.875,5.521,13.978,1.1029999999999998,strengthening
Marketing,Video,,6.0,,,0.1304,,,9.991,,,stable
Marketplace,Proptech,10.0,,,0.0862,,,4.194,,,,disappeared
Marketplace,Real Estate,6.0,,,0.0561,,,3.939,,,,disappeared
Marketplace,Recruiting,6.0,,,0.0594,,,5.329,,,,disappeared
Marketplace,SaaS,14.0,,,0.0302,,,0.545,,,,disappeared
Neobank,Payments,12.0,,,0.1644,,,10.042,,,,disappeared
No-code,SaaS,5.0,,,0.0127,,,1.459,,,,disappeared
Open Source,SaaS,13.0,13.0,,0.031,0.0512,,1.012,1.279,,,disappeared
Payments,SaaS,12.0,8.0,,0.0278,0.0338,,0.751,1.384,,,disappeared
Productivity,SaaS,21.0,11.0,8.0,0.0508,0.0445,0.0645,1.599,1.314,3.629,2.0300000000000002,strengthening
Proptech,Real Estate,12.0,8.0,,0.2553,0.32,,19.696,32.119,,,disappeared
Proptech,SaaS,9.0,6.0,,0.0217,0.0263,,0.876,1.673,,,disappeared
Retail,SaaS,,5.0,,,0.0225,,,2.281,,,stable
SaaS,Sales,22.0,15.0,7.0,0.0545,0.0628,0.0579,2.028,1.981,3.728,1.7000000000000002,strengthening
SaaS,Sales Enablement,7.0,,,0.0177,,,1.751,,,,disappeared
SaaS,Security,12.0,5.0,,0.0299,0.0219,,1.617,1.476,,,disappeared
SaaS,Subscriptions,6.0,,,0.015,,,1.106,,,,disappeared
SaaS,Supply Chain,5.0,,,0.0124,,,0.834,,,,disappeared
SaaS,Workflow Automation,8.0,7.0,,0.0204,0.0292,,2.335,1.133,,,disappeared
Sales,Sales Enablement,10.0,,7.0,0.2381,,0.2692,25.545,,39.139,13.594000000000001,strengthening
