tag,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Cloud Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Workload Protection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.439,0.0,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coding Bootcamps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collaboration,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.222,3.333,4.545,1.205,2.174,1.923,0.0,0.0,1.818,0.962,0.0,0.0,0.0,0.0,2.74,0.0,1.546,2.273,0.0,0.478,0.595,0.767,1.005,0.855,1.825,0.0,0.403,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial Space Launch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.515,0.568,0.439,0.0,0.0,0.256,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community,11.111,0.0,0.0,15.385,5.263,0.0,0.0,0.0,0.0,0.0,5.556,2.222,0.0,0.0,1.205,0.0,0.0,1.351,2.564,0.0,0.962,2.459,0.98,0.862,0.0,2.055,0.0,2.577,1.705,1.754,0.478,2.083,3.069,0.754,0.855,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.962,0.82,0.0,0.862,0.0,0.685,0.0,0.515,0.568,0.877,0.957,1.19,0.512,1.759,3.419,2.19,2.727,2.419,1.613,2.128,3.012,2.098,0.602,3.425,1.005,0.513,0.426,0.0,0.0
Computational Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.222,0.0,3.03,0.0,0.0,0.0,0.0,1.282,2.727,2.885,1.639,1.961,2.586,0.8,0.685,1.527,2.062,0.568,0.877,1.914,1.19,1.279,0.251,1.282,1.095,1.364,1.613,2.016,0.0,1.807,1.399,1.205,2.055,1.508,0.0,1.702,0.0,0.0
Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,1.515,0.0,2.174,0.0,0.0,0.0,1.818,0.962,0.0,1.961,0.0,2.4,0.685,0.763,0.515,2.273,0.877,1.914,1.488,1.023,2.513,1.282,0.73,1.818,1.613,0.403,2.128,0.602,0.0,0.602,2.055,1.508,0.0,3.404,0.0,0.0
Consumer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,2.41,0.0,0.0,1.351,3.846,0.0,1.923,0.0,4.902,1.724,1.6,6.164,2.29,5.155,2.273,1.316,2.392,4.167,3.069,9.799,8.12,4.38,3.636,6.855,7.258,8.511,5.422,6.993,4.217,5.479,0.503,3.59,2.553,5.714,0.0
Consumer Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.515,0.0,0.877,0.478,0.595,0.767,0.503,0.427,0.365,1.364,0.403,1.613,1.064,0.602,0.699,1.205,2.055,0.0,1.026,0.851,0.0,0.0
Consumer Health Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,2.174,0.0,1.351,0.0,2.727,2.885,2.459,0.98,3.448,3.2,1.37,2.29,0.515,3.409,2.193,1.914,3.869,5.371,2.764,0.855,1.095,2.273,2.016,0.403,1.064,0.0,0.0,0.0,2.055,0.0,0.0,0.851,0.0,0.0
Consumer Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.685,0.763,0.0,0.568,0.0,0.0,0.0,0.512,0.251,0.0,0.365,0.0,0.0,0.0,0.0,0.602,0.699,0.0,0.685,0.0,0.0,0.426,0.0,0.0
Conversational AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,1.37,0.763,0.0,0.0,0.439,0.0,0.595,0.256,0.503,0.855,1.095,1.364,2.823,1.613,0.0,3.614,0.699,2.41,2.74,0.0,0.0,0.851,0.0,0.0
Conversational Banking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creator Economy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.98,0.862,0.0,0.0,0.763,0.515,0.568,2.193,0.478,0.298,1.023,1.005,1.709,1.095,0.0,0.403,0.403,0.0,0.602,0.699,0.602,1.37,0.0,0.0,0.851,0.0,0.0
Crowdfunding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,2.41,4.348,0.0,1.351,2.564,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowdsourcing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.763,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Crypto / Web3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,5.128,0.909,0.0,0.0,0.0,1.724,0.8,4.11,1.527,0.515,3.409,0.877,1.435,2.083,2.302,4.02,5.556,1.825,0.455,0.806,0.403,1.064,1.205,0.0,0.602,0.685,0.0,0.513,1.277,0.0,0.0
Cryptocurrency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.754,0.855,0.73,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Cryptography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cultivated Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Culture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Cultured Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.256,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Customer Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,2.222,0.0,1.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.862,1.6,0.685,0.0,0.515,0.0,0.0,0.0,0.595,0.0,0.503,0.0,0.73,0.455,0.806,0.403,1.064,0.602,0.0,0.602,0.0,0.0,0.0,0.426,0.0,0.0
Customer Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.595,0.512,0.754,0.427,2.555,0.0,0.403,0.806,1.064,0.602,0.0,0.0,2.055,0.0,0.0,0.426,0.0,0.0
Customer Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.031,0.0,0.0,0.0,0.595,0.0,0.754,0.855,2.555,0.909,1.613,0.806,1.064,0.0,0.699,0.0,1.37,0.0,0.0,0.426,0.0,0.0
Customization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyber Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cybersecurity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818,1.923,0.82,0.98,0.0,0.0,0.685,0.0,1.546,0.568,0.439,0.957,0.298,0.767,0.0,0.427,1.095,1.364,0.806,0.806,1.064,1.205,2.098,1.205,2.74,0.503,0.0,2.553,0.0,0.0
DAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Engineering,0.0,0.0,0.0,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,6.522,0.0,0.0,0.0,1.818,0.962,0.82,0.0,0.0,0.8,0.0,0.763,1.031,2.841,3.07,3.349,1.786,2.302,3.015,2.991,2.19,2.273,2.016,1.613,2.128,1.205,1.399,0.602,1.37,2.01,0.0,3.404,0.0,0.0
Data Labeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.256,0.754,0.0,0.0,0.455,0.0,0.806,0.0,0.602,2.098,0.602,0.685,0.503,0.0,1.702,0.0,0.0
Data Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.962,0.0,0.98,0.862,0.0,0.0,0.0,0.515,0.0,0.0,0.957,0.0,0.256,0.251,0.0,0.365,2.273,1.613,1.613,0.0,0.602,1.399,1.205,0.0,0.0,0.0,1.277,0.0,0.0
Data Visualization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,3.704,0.0,0.0,0.0,1.515,0.0,2.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,0.439,1.435,0.298,0.512,0.0,0.0,1.46,1.818,2.016,0.403,0.0,0.0,0.699,1.205,0.0,0.0,0.0,0.0,0.0,0.0
Databases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,3.333,0.0,0.0,2.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957,0.298,0.256,0.251,0.427,0.0,2.273,1.21,0.0,0.0,1.205,1.399,0.0,0.685,0.0,0.0,0.426,0.0,0.0
Dating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeFi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.568,0.0,0.0,0.595,0.256,1.005,1.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,2.727,0.0,1.639,0.0,0.0,0.8,3.425,0.763,1.031,1.136,0.439,0.957,1.488,0.0,0.0,0.427,0.365,0.909,0.403,0.806,1.064,0.0,0.0,0.602,0.0,1.005,0.513,2.128,5.714,0.0
Deepfake Detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.298,0.767,0.251,0.0,0.0,0.0,0.403,0.806,2.128,0.0,0.0,0.602,2.055,0.503,1.026,3.404,0.0,0.0
Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,1.205,2.174,3.846,1.351,1.282,0.909,0.962,1.639,1.961,1.724,1.6,0.0,0.763,2.062,1.136,0.877,2.871,1.19,2.046,1.256,0.855,0.365,0.455,0.0,0.0,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.403,0.0,0.602,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.704,2.778,0.0,0.0,1.515,2.41,0.0,1.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.763,0.0,0.0,0.0,0.478,0.298,0.256,0.251,0.0,0.0,1.364,0.403,0.0,2.128,1.807,0.699,1.205,2.74,0.0,0.0,0.851,0.0,0.0
Design Tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.222,0.0,0.0,2.41,0.0,0.0,0.0,0.0,1.818,1.923,1.639,0.0,0.0,0.0,4.11,1.527,1.031,1.136,1.316,0.957,2.083,0.512,0.754,0.0,1.46,0.909,0.806,0.403,3.191,0.602,0.699,0.602,1.37,0.0,0.0,0.426,0.0,0.0
DevOps,0.0,0.0,0.0,0.0,0.0,4.762,0.0,0.0,0.0,0.0,5.556,0.0,1.667,1.515,1.205,0.0,3.846,0.0,2.564,1.818,0.0,0.0,0.98,0.862,0.0,0.0,0.0,0.515,0.0,0.877,1.914,0.0,0.767,0.503,0.0,1.825,1.364,0.403,1.21,3.191,0.602,0.699,1.205,1.37,0.0,0.0,0.851,5.714,0.0
DevSecOps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,1.205,0.0,0.0,0.0,1.282,1.818,1.923,0.0,0.0,1.724,0.0,0.685,0.0,1.546,0.568,0.439,1.914,0.595,0.256,0.754,0.855,0.73,0.455,0.0,0.0,0.0,0.0,0.699,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Developer Tools,0.0,0.0,0.0,0.0,0.0,4.762,0.0,0.0,3.846,0.0,0.0,2.222,10.0,4.545,6.024,2.174,5.769,2.703,2.564,5.455,6.731,5.738,0.98,3.448,2.4,4.11,5.344,7.732,9.659,10.526,11.483,10.119,8.44,8.543,10.256,17.883,14.545,12.5,12.903,19.149,9.639,13.986,13.855,9.589,2.513,4.103,9.787,17.143,0.0
Diagnostics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,2.564,0.909,0.962,2.459,0.98,0.862,1.6,0.0,1.527,0.515,0.0,0.877,0.957,0.595,0.767,0.503,0.855,0.365,0.455,0.0,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Digital Freight Brokerage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Digital Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923,1.351,2.564,1.818,0.962,0.82,0.98,2.586,2.4,2.055,3.053,2.062,2.841,0.439,3.349,2.976,2.813,3.518,2.564,1.46,2.727,3.226,0.806,3.191,2.41,0.699,0.0,2.74,0.503,0.513,0.851,0.0,0.0
Diversity & Inclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Documents,0.0,0.0,0.0,7.692,0.0,0.0,0.0,0.0,0.0,3.704,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,1.639,0.0,0.0,0.8,1.37,0.0,0.0,0.0,0.439,0.478,0.893,0.256,0.251,1.282,1.46,0.455,1.21,0.0,1.064,1.205,1.399,0.0,0.0,0.0,0.0,0.0,2.857,0.0
Drones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,2.174,0.0,1.351,0.0,0.909,1.923,0.0,0.98,0.862,0.8,0.685,1.527,0.515,0.568,0.877,0.0,0.0,0.512,0.251,0.427,0.365,0.0,0.403,0.403,0.0,0.0,0.0,0.602,0.685,1.005,0.513,2.128,2.857,0.0
Drug Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Drug discovery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818,0.0,0.0,0.98,0.0,0.8,0.0,0.0,0.515,2.273,1.754,0.0,0.893,0.512,1.005,0.427,1.095,0.0,1.21,1.21,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.426,0.0,0.0
E-Commerce,0.0,0.0,10.0,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0,8.889,1.667,3.03,3.614,6.522,1.923,2.703,0.0,2.727,0.962,2.459,1.961,2.586,0.0,0.0,1.527,1.546,0.568,0.0,0.478,0.298,0.256,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.222,1.667,0.0,4.819,8.696,3.846,2.703,5.128,3.636,2.885,1.639,5.882,1.724,2.4,5.479,1.527,2.577,5.682,2.632,6.699,5.655,6.394,6.281,2.991,2.92,0.909,0.806,2.823,2.128,1.205,0.0,1.205,2.055,0.0,1.026,0.851,0.0,0.0
Edge Computing Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.426,0.0,0.0
Edtech,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,2.174,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.515,0.0,0.439,0.0,1.19,0.0,0.251,0.0,0.365,0.909,0.403,0.806,0.0,1.205,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,2.778,4.444,6.667,3.03,6.024,4.348,7.692,6.757,2.564,0.909,2.885,1.639,5.882,3.448,4.0,4.11,3.817,4.639,4.545,2.193,5.263,4.167,4.604,2.01,1.282,0.73,1.818,1.21,1.21,1.064,3.012,2.098,2.41,0.685,0.0,0.0,0.851,0.0,0.0
Election Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Vehicles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.0,0.8,0.0,0.0,1.031,0.568,0.439,1.435,1.19,0.256,1.005,0.0,0.73,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.0,7.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.403,0.403,0.0,2.41,0.699,0.0,0.0,0.0,0.0,0.426,2.857,0.0
Email,0.0,0.0,0.0,0.0,0.0,0.0,4.545,6.25,0.0,0.0,5.556,2.222,1.667,1.515,1.205,0.0,0.0,1.351,1.282,0.0,0.0,0.82,0.98,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.478,0.595,0.256,0.503,0.0,0.0,0.0,0.403,0.806,1.064,0.602,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.0
Emerging Markets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.0,0.0,0.0,0.0,0.0,0.568,0.0,0.0,0.298,0.0,0.0,0.0,0.365,0.0,0.403,0.403,0.0,0.602,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
